estonian,english
sõber,friend
sama,same
suuda,can
läks,went to
tahab,wants
neile,them
härra,Mr.
mille,which
kena,nice
all,beneath
terve,healthy
ütlesid,said
täpselt,exactly
naine,woman
kaua,long
tegid,did
ongi,is
millest,which
sai,received
õige,right
poleks,would
töö,working
kätte,receipt
päeva,days
usu,believe
mõned,some
jälle,again
kindlasti,surely
armastan,I love
neil,they
tüdruk,girl
keda,who
kedagi,someone
kuna,because
sellele,to this
aidata,to help
kuula,listen
tuli,fire
tulla,come
endale,new
äkki,suddenly
mingit,any
asjad,things
ajal,during
kõike,everything
üldse,ever
asju,things
tulen,I come
hakkama,begin
selline,that
lõpeta,stop
teine,second
päev,day
no,no
kust,whence
tegi,did
tundub,feels
ärge,Do not
vana,old
võtta,take
ütlen,say
sellepärast,because
järgi,according to
sir,sir
hoia,hold
tunne,feeling
viis,way
tunnen,I feel
räägid,talk
ehk,perhaps
näen,see
juures,at
peaksid,should
jäta,leave
selleks,"To this end,"
võiks,should
mõtlesin,thought
nägin,I saw
tegin,did
pidanud,have
poole,to
auto,car
suurepärane,great
võibolla,may be
kullake,sweetheart
räägin,speak
hiljem,later on
milline,what
osa,part
abi,help
jää,ice
elus,alive
tulge,come
teate,know
mõtlen,I think
saaks,could
sinust,of you
eriti,especially
mr,mr
homme,tomorrow
väljas,outdoors
seega,thus
poolt,by
lähed,go
alles,only
sellel,this
uuesti,again
sel,this
tahtsin,wanted
taga,behind
varem,previously
kiiresti,fast
raske,difficult
selge,clear
tööd,jobs
aitab,help
läinud,past
dr,Dr.
peal,on
aasta,year
esimene,first
võimalik,available
teab,knows
ees,in front of
tappa,kill
koht,place
millal,when
eemale,away
teist,another
neist,them
parim,best
ah,oh
minust,of me
iganes,ever
sellist,such a
õhtul,evening
järele,for
käia,go
jack,Jack
vaadake,look
samuti,as well as
võtan,take
näe,look
rääkima,speak
piisavalt,enough
ümber,around
pool,half
maja,house
mehed,men
vajan,need
poeg,son
uus,new
ainus,only
loodan,I hope
ilus,beautiful
kell,clock
vabandage,Excuse me
tõsiselt,seriously
vahel,between
maailma,world
vait,silent
vähemalt,at least
peaksin,I should
peaaegu,almost
saama,receive
täiesti,completely
minge,go
olemas,available for
võime,capability
kelle,whose
inimesi,people
tõsi,true
näeme,see you
john,john
surma,death
paistab,looks
paar,couple
oleksid,Would be
sealt,thence
ilmselt,apparently
oleksin,would be
panna,put
andeks,forgiveness
muretse,worry
võimalus,opportunity
sõbrad,friends
ok,ok
persse,Shit
lapsed,children
kapten,captain
tehtud,done
poisid,boys
probleem,problem
lähe,going
aja,time
viimane,last
tahtnud,wanted
jääb,stays
leida,find
sees,on
jama,nonsense
kuulnud,heard
kõiki,all
anda,give
heaks,for
lõpuks,finally
ütleb,says
öelnud,said
usun,I believe
kutt,dude
lugu,story
tunned,feel
tahaks,want
läheme,lets go
nalja,joke
laps,baby
üksi,alone
issand,lord
minutit,minutes
ringi,round
hakkab,begins
eile,yesterday
inimene,human
tohi,must
jääda,stay
temast,about him
mäletad,remember
meeldi,like
vend,brother
kuulsin,heard
hommikul,in the morning
järgmine,following
neetud,damned
sõna,word
proua,Mrs.
annan,give
otse,straight
juhtub,happens
meiega,with us
lahe,the bay
hoida,hold
täis,full
kodus,home
käes,in
mõte,idea
kõigest,of all
peaksime,we should
veidi,slightly
varsti,shortly
hetk,moment
niimoodi,like that
muud,other
mõtled,think
neli,four
tuled,lights
lasta,let the
tulid,came
võtke,contact
teise,other
nime,name
maa,earth
umbes,about
teadnud,knew
mõni,any
mööda,along
mõlemad,both
uskuda,believe
meest,husband
tänu,thanks to
unusta,forget
tulin,I came to
halb,bad
räägib,speaks
käed,hands
too,too
tahate,want
hull,crazy
teiega,with you
tulevad,comes
mõista,understand
juhul,event
peate,you must
tundi,hours
saavad,get
päeval,during the day
tööle,to work
armas,cute
nägid,saw
perse,ass
rahune,calm
laske,shooting
politsei,police
üsna,pretty
niisiis,then
kadunud,lost
kohal,over
näeb,sees
tähtis,important
loomulikult,naturally
ühte,one
pisut,slightly
saaksin,could
kuradit,heck
vaatame,look
mõtle,think
oodake,wait
kellegi,someone's
rääkis,spoke
rääkinud,talked
olevat,is said to
pidi,had
meist,of us
mehe,Mans
hetkel,at the moment
otsa,ends
õnnelik,lucky
ütlema,say
teised,others
haiget,hurt
leidsin,I found
vaadata,to watch
halloo,Hello
vaatan,looking
aita,help
vabanda,apologizing
ühel,one
jätta,leave
käest,from
teame,know
linna,city
arva,think
jooksul,over
igal,every
naljakas,funny
relv,weapon
kohale,over
pihta,hit
new,New
nimel,on behalf of
paremini,better
uue,new
pidin,had to
nendega,with them
teadsin,I knew
käsi,hand
vale,false
saate,you can
tulnud,come to
teevad,do
ükskõik,no matter
dollarit,dollars
charlie,charlie
nemad,them
tahavad,want
kutid,guys
nõus,ready
võtab,takes
siiski,however
päästa,save
teel,by
kuulda,hear
istu,sit
ööd,nights
jumala,of God
võtaks,take
millega,with what
miski,something
teete,make
hommikust,morning
kahe,the two
lihtne,easy
semu,Buddy
tahaksin,I would like
sobib,fits
teeks,would
kao,disappear
suure,big
hakka,Become
kellega,with who
tõeline,real
õnne,happiness
õde,sister
saime,Got
tulemast,to
iial,ever
kardan,I am afraid
kolonel,colonel
sam,sam
ütled,you say
räägime,talk
süüa,eat
püha,holiday
mõne,some
olge,watch for
ikkagi,anyway
valesti,wrong
kuus,six
number,number
mingeid,any
doktor,doctor
kasutada,to use
suudad,can
olime,were
kuigi,though
kuuled,hear
vahele,between
väärt,worth
luba,permission
vaatama,look
elada,live
suri,died
tahtis,wanted
preili,Ms.
küsimus,question
rahu,peace
teadma,know
rääkisin,talked to
uks,door
andis,gave
silmas,view
andke,give
silmad,eyes
tubli,good
võttis,took
oodata,wait
võtame,take
moodi,like
võivad,can
paha,bad
jäänud,remained
viia,lead
üleval,up
luban,I promise
kuradima,fuckin
võtma,take
näita,show
helista,call
mõelnud,thought
naise,women's
michael,michael
soovid,you want
võite,you may
inimeste,people's
töötab,works
kohtuda,to meet
ühtegi,none
tunni,hour
seotud,bound
jalga,ft
jaa,ice
vajab,needs
lähedal,close
hakkame,begin
kõlab,sounds
käib,goes
saaksid,you could
minuti,minutes
võiksid,should
helistan,I call
jeesus,Jesus
soovin,I wish
clark,Clark
süü,guilt
mängu,the game
vajame,we need
kõigile,all
muidu,otherwise
vajad,Need
ellu,implemented
öö,night
nägu,face
arvatavasti,probably
kuud,months
uut,new
tulema,come
plaan,plan
kuidagi,somehow
kindral,general
issi,dad
kuu,month
ameerika,America
proovi,try
püsti,upright
tehke,do
pealt,from
korra,once
kontrolli,check
lõbus,fun
tüüp,type
tappis,killed
maailm,world
milles,in what
hakkan,begin
vihkan,hate
annab,gives
peavad,must
tähelepanu,attention
mängida,to play
kellelegi,anyone
silma,the eye
tütar,daughter
vaba,free
kõigi,all
panen,put
ometi,nevertheless
president,president
tahtsid,wanted
nägemist,goodbye
milleks,why
õhtu,evening
oi,oh
onu,uncle
leia,find
jäi,remained
ainuke,only
ülejäänud,other
lasen,shoot
isand,lord
magama,sleep
vii,vii
lõpp,end
õhku,the air
maailmas,in the world
pange,Please
küsida,ask
appi,help
vähem,less
aimugi,idea
värk,stuff
hoopis,much
suutnud,failed to
oska,can
mõttes,in mind
hilja,late
kolme,the three
toon,tone
idee,idea
tüdrukud,girls
probleeme,problems
kooli,the school
mäletan,I remember
mitu,multiple
oo,oh
uskumatu,unbelievable
suhtes,in a relationship
tapa,kill
meelde,Forgot
leidsid,found
aastal,year
elab,lives
hoidke,hold
meeldiv,pleasing
arust,think
poja,son
käi,go
rahule,peace
igatahes,anyhow
polegi,'s not
mõistan,understand
koha,place
kombes,okay
võinud,have
pealegi,moreover
sellise,such a
näiteks,for example
ootab,waits
pask,shit
huvitav,interesting
arvab,thinks
tavaliselt,usually
endast,a
vanemad,parents
loll,stupid
pähe,by heart
harry,Harry
nägi,peg
juhtunud,happened
kuulsid,heard
mõnikord,sometimes
pikk,tall
kiire,speedy
tahame,we want
kiiremini,faster
minul,I have
lahku,leave
suu,mouth
näete,you see
frank,franc
alt,from under
aidake,help
teadsid,knew
tuua,to bring
huvita,interesting
mõelda,to think
mõistad,understand
liiguta,Moving
lõpetada,finish
käinud,attended
sõda,war
mäleta,remember
majas,in the house
laeva,the ship
keha,body
nägema,see
abikaasa,husband
kohvi,coffee
pere,family
jään,I stay
öösel,at night
asemel,instead of
au,glory
noor,young
imelik,weird
haige,ill
aus,honest
pagan,heathen
pani,put
osta,buy
emme,mummy
james,James
paneb,puts
kuhugi,somewhere
relva,weapon
ajast,time
daamid,ladies
koer,dog
kuningas,king
paigal,still
esimest,first
lähevad,go to
puhas,clean
kodu,home
meel,mind
mäng,game
rahulikult,calmly
tundma,know
lapse,children's
muuta,turn
agent,agent
läksid,went
pidu,feast
tapsid,killed
hiljaks,late
inimest,people
otsin,looking
tegemist,it
ee,ee
võimalust,chance
kuskil,somewhere
lahkuda,leave
ruttu,quickly
raisk,wasting
arvates,thinking
kellel,who
naist,woman
leidma,find
mike,mike
mõnda,some
linnas,in the city
vahet,distinguish
ettevaatlik,cautious
meeldivad,like
aastaid,years
täielikult,fully
ohtlik,dangerous
ukse,door
viin,vodka
näidata,to show
teiste,others
must,black
kõvasti,hard
suudan,I can
jookse,run
teavad,know
vett,water
jääd,ice
relvad,arms
suurt,great
pikali,lying down
tõde,truth
boss,boss
kuulake,Hear
lapsi,children
võtsid,took
võiksin,I could
tom,tom
ajaks,time
leidnud,found
kohtume,Meet
rääkisid,talked
mil,when
tõlkis,translated
joe,joe
äri,business
kutsu,Invite
tapan,will kill
paari,pairs
hakkad,begin
kaugele,far
üritan,try
samas,at the same time
päriselt,altogether
meeles,remember
arvate,think
üht,one
härrased,gentlemen
kõrvale,aside
valge,white
hüvasti,goodbye
samal,the same
kõne,speech
hallo,hallo
perekond,family
mingil,some
jake,jake
endiselt,continues
surra,die
ootan,waiting
viimase,last
seepärast,therefore
jätke,leave
tõmba,pull
seersant,sergeant
hakkas,started
ajad,times
liigume,moving
lõpetanud,finished
kohutav,terrible
inimese,person
viska,throw
seekord,this time
nendest,of them
kaugel,far
max,max
laev,ship
suured,large
last,load
põhjus,cause
esimese,first
väsinud,weary
sellesse,this
paljud,many
küsi,Ask
vabandan,sorry
ühendust,connection
nädalat,weeks
kellele,whom
kümme,ten
rahvas,people
george,George
täielik,complete
järel,on
leitnant,lieutenant
süüdi,guilty
miljonit,million
saatis,sent
alates,since
kahjuks,unfortunately
võtad,take
kaitsta,protect
kõrval,next to
tundsin,felt
jimmy,Jimmy
võiksime,we could
soovite,wish
vannun,swear
naised,women
tugev,strong
vasta,answer
meeldiks,like
süda,heart
läksin,went
öelge,say
saata,send
peter,Peter
otsima,look for
jättis,left
verd,blood
kohas,place
tohiks,should
idioot,idiot
vanaema,grandmother
võtnud,taken
viib,takes
kaheksa,eight
läksime,went
hulluks,insane
eluga,with life
seitse,seven
bobby,bobby
nädala,the week
imeline,wonderful
kella,bell
david,David
mõtlema,think
tegime,we did
aastane,annual
taas,again
tark,clever
põhja,northern
abielus,married
tõtt,truth
leiame,we find
kirja,Letters
oluline,important
pidid,pictures
aitan,I will help
võis,could
kõigil,all
ben,Ben
millegi,something
ruumi,the space
tapnud,killed
armastus,love
leian,I will find
küllalt,enough
tõuse,increases
võimatu,impossible
pr,pr
muutunud,changed
andma,give
probleemi,the problem
oskad,can
ausalt,honestly
muutub,changes
vihane,angry
näitan,Showing
ava,aperture
tapab,killing
usalda,trust
tõeliselt,really
st,from
koolis,in school
kuulge,you there
panid,put
korraks,briefly
tüdruku,girl
eemal,away
kavatsed,going to
joey,joey
tööta,working
liigu,to pass
vennas,brother
nädal,week
jutt,story
keelt,language
leidsime,found
karda,afraid of
lõpetage,stop
tasa,gently
juhtu,cases
otsi,search
pidage,please
võtsin,took
uhke,proud
õhtust,good evening
linn,city
ammu,long ago
laskma,shoot
ajada,with
selga,on
omad,own
miss,miss
meeldis,liked
külm,cold
suudab,can
nina,nose
suunas,towards
peatada,to stop
kuum,hot
väikese,little
minult,me
vea,error
püüan,I try to
autosse,in the car
tapma,kill
valu,pain
põrgu,hell
omale,To create your
magada,sleep
tuleks,come
terviseks,cheers
käima,go
kasuta,use
kuulen,I hear
vau,peacock
natukene,a little
võimaluse,opportunity
rumal,silly
leidis,found
teisi,others
lahkuma,leave
elama,to live
igavesti,eternally
õnn,happiness
läheks,would go
sinult,from you
andnud,given
tundnud,knew
bob,bob
kusagil,somewhere
juua,drink
juhtuda,happen
toob,brings
autot,cars
andsin,gave
filmi,movie
telefoni,phone
sureb,dies
halba,bad
edu,success
külge,sides
mehi,men
otsas,ends
siiani,so far
saaksime,we could
major,major
häid,good
jäid,stayed
tuba,room
inglise,English
pärit,from
ükski,any
puhul,in case of
lõuna,south
tavaline,ordinary
panin,put
surm,death
helistada,to call
vähe,few
jõudnud,reached
kellegagi,with someone
lahke,kind
sööma,eat
billy,Billy
tuleme,we are coming
tõin,brought
tüdrukut,girl
bill,bill
sekundit,seconds
alex,alex
räägivad,speak
veri,blood
nali,joke
paul,paul
ajab,drives
fbi,FBI
miili,mi
armastab,loves
tegu,act
üksinda,alone
tunda,to feel
arst,doctor
armastad,love
põhjust,reason
soovi,wish
näib,seems
lõpuni,the end
selliseid,these
telefon,phone
nimega,named
jääma,stay
helistas,called
teisel,second
jobu,sucker
püsi,stay
söö,eat
vabaks,free
seis,standing
suurem,greater
hoiab,holds
paneme,put
lugeda,to read
ühes,with
jõuab,can
möödas,passed
lisa,more
küsimusi,questions
kasu,benefit
andsid,gave
järgmisel,on the next
Nick,Nick
Sarah,Sarah
sõida,fly
jätan,leave
arvavad,think
valikut,choice
tooge,bring
laseme,let the
võita,beat
tuld,fire
hullu,mad
uh,ugh
alustame,let's begin
loe,North-west
täiuslik,perfect
härrad,gentlemen
hakata,to start
korral,at once
teadis,knew
seisma,stand
unustasin,I forgot
viige,Carry
hullem,worse
arvata,think
täitsa,dead
töötan,I work
ütlevad,saying
eriline,special
sitapea,asshole
sellised,these
jääme,stay
endaga,lead
hetke,current
oligi,was
libu,bitch
litapoeg,motherfucker
sõita,drive
meeskond,team
kuulub,belongs
kaotasin,I lost
tähenda,imply
küsin,ask
kirjas,the letter
ütleks,would say
tühi,empty
otsime,looking for
sedasi,like this
tahaksid,want
ootama,wait
alustada,to begin
henry,henry
daniel,Daniel
liikuma,move
jõua,reach
esimesena,first
asub,located
kihla,bet
üksteist,each other
huvitatud,interested
ettevaatust,Caution
sinul,you
segane,distracted
rõõm,pleasure
subclub,subclub
hoian,I keep
tänud,thanks
kaugusel,from
ütleme,we say
maksta,pay
punane,Red
kutsun,call
mängi,Play
majja,into the house
Chloe,Chloe
riided,clothes
usud,believe
olukord,situation
koera,canine
löö,create
kerge,light
kutsuda,call
jõuame,we come
ülesse,up
inimestele,people
normaalne,normal
viima,lead
maksma,pay
peagi,soon
jõuda,to reach
kallal,on
saite,sites
usaldada,trust
tohin,alight
kaotanud,lost
vanaisa,grandfather
viimasel,the last
hinge,breath
hakkavad,will
sõbra,your friend
tõi,brought
panema,put
taevas,heaven
teene,favor
tegelen,deal
Johnny,Johnny
the,The
käis,attended
kahte,two
käisin,I went
tuhat,thousand
maas,down
kõva,tough
kiirusta,hurry
viimati,last
segi,confused
tunneb,feels
lubada,allow
südame,heart
Jim,Jim
tõid,You brought
vesi,water
paned,you put
Danny,Danny
olite,you were
ärka,wake up
naisega,wife
lasid,shot
armunud,enamored
juurest,from
leiad,find
pilt,picture
arvasid,thought
tuppa,indoors
lasi,shot
tõttu,because of
seni,so far
ime,miracle
muusika,music
valik,selection
aitama,help
vara,property
vastus,answer
pidada,considered
tõsta,lift
üllatus,surprise
kaotada,to lose
halvasti,badly
maksab,costs
muu,sell
tõenäoliselt,probably
oledki,oledki
eelmisel,last
väikest,small
paremat,right
maal,painting
kutsutakse,invited
jälgi,watch
algab,begins
õigesti,correctly
otsast,ends
annad,you give
Mary,Mary
peas,head
kardad,scared
valus,painful
tihti,often
esiteks,first
pigem,rather
saadan,sending
liigub,moves
viie,five
toitu,food
mures,worried
muide,by the way
põrgut,hell
kallike,darling
ühele,one
perekonna,family
niisama,as
tund,hour
Richard,Richard
armee,army
arvatud,save
tagant,from behind
elad,live
selgeks,clear
venna,brother's
pääseda,escape
firma,company
kaasas,with
sõnad,the words
toas,chatting
korralikult,properly
kaitse,protection
kõigepealt,first
ükskord,one time
kaudu,through
oodanud,waited
kanda,wear
nädalal,the week
emale,to Mother
proovida,try
ootame,we wait
sõpru,friends
Carter,Carter
Tommy,Tommy
soovib,wishes
vangi,jail
Kate,cover
parima,best
kontrollida,to check
tähele,note
isiklikult,personally
lased,letting
teeksid,do
hävitada,to destroy
viimased,last
elanud,lived in
mehega,man
võimas,powerful
laste,children's
näitab,shows
olles,being
sitt,shit
näevad,look
kurb,sad
lisaks,in addition to
poisi,boy
autos,autos
anname,we give
tutvuda,meet
hoidma,keep
kukkus,fell
lüüa,create
värdjas,bastard
uskuma,believe
antud,given
kuninganna,queen
lahkus,left
kätt,the hand
jäin,I stayed
tõsine,serious
õppida,learn
kala,fish
pööra,pay
vaene,poor
ennem,before
saatus,fate
tulista,shoot
istuda,to sit
võetud,taken
infot,information
kolmas,third
puutu,touching
lõi,hit
liha,meat
juht,leader
pakkuda,offer
hooli,care about
plaani,plan
üheksa,nine
tasuta,free
hetkeks,momentarily
elan,live
õpetaja,teacher
vasakule,to the left
loodetavasti,hopefully
enamus,majority
juuksed,hair
peast,by heart
jalad,legs
suureks,great
juttu,story
vaatasin,looked
lex,lex
pannud,put
võti,key
musta,Black
näljane,famished
kaela,neck
ajas,Sex
professor,professor
kaunis,beautiful
oleksime,we would
põgeneda,escape
kähku,haste
jätsid,left the
äsja,newly
arvanud,thought
pistmist,to do
Eddie,Eddie
katki,broken
veider,weird
viimast,latest
vaatad,look
jätka,continue
linnast,city
käe,the hand
püüa,catch
millestki,something
õnnetus,accident
peaksite,should
Chris,Chris
viime,we will
asjade,things
tundus,felt
proovin,try
hämmastav,amazing
võidelda,fight
astu,Step
minule,to me
sinus,sinus
meister,champion
parimad,best
võtmed,keys
igaüks,anyone
raamat,book
järgmise,the next
kivi,stone
liikuge,scroll
rahul,pleased
plaanid,plans
lähete,you go
näkku,to face
surema,die
teaks,know
väljaspool,outside
loo,create
erilist,special
kirjutada,write
Walter,Walter
Tony,Tony
kangelane,hero
võlgu,on credit
nägemiseni,good bye
uudiseid,news
räägite,talking about
joo,joo
uudised,news
Alan,Alan
keera,screw
tüüpi,types
Andy,Andy
Dean,Dean
ohtu,threat
uued,new
sure,die
Mark,mark
teisele,another
lasin,let the
aju,brain
vabalt,freely
eelmine,previous
jätsin,I left
oskan,can
Steve,Steve
puudust,shortage
la,la
lähemale,closer to
tunnete,you feel
kah,kah
õhtut,evening
sinule,for you
hinga,breathe
pidevalt,constantly
suudaks,able
Dan,Dan
jõudu,strength
suurim,largest
kellelgi,anyone
võmm,cop
muudab,changes
vahest,perhaps
tööl,at work
liigutage,Move
tütre,"daughter,"
purjus,drunk
laiali,spread
inimestega,with people
paremaks,better
muutus,change
emaga,mother
leiab,find
haiglasse,the hospital
tädi,aunt
üritab,trying to
mõtlesid,thought
millised,which
paks,fat
mängima,play
sooviksin,I wish
sult,thee
lõpetama,complete
kutsub,invites
Lee,Lee
huvitab,interests
voodisse,bed
öeldes,speaking
jääge,Stay
küsisin,asked
kutsus,called
elust,of life
kaamera,camera
persevest,asshole
uurija,researcher
küsima,ask
isale,father
häält,voice
lootsin,hoped
printsess,princess
tooma,bring
mrs,MRS
naisi,women
selja,back
tulime,we came
sõpra,friends
pääse,escape
paremale,right
teeninud,earned
ala,area
kavatse,going
vee,water
töötad,workin
ühest,one
kellest,of whom
valida,choose
vaikselt,quietly
isaga,father
võimeline,able
olengi,olengi
töötas,worked
kadus,disappeared
pilti,picture
terveks,healthy
ray,ray
teisiti,otherwise
keset,in the middle
mõtet,point
palus,asked
vajalik,necessary
rääkisime,we talked
esmalt,first
jõud,power
lana,lana
otsus,decision
igaveseks,forever
oskab,can
vennad,brothers
pime,blind
lennuk,plane
majast,house
usa,US
ööl,night
teatud,some
will,Will
claire,claire
tarvis,need
muretsema,worry
karm,rough
temalt,from him
hääl,voice
kindlalt,firmly
nelja,four
hüppa,jump
sõdur,soldier
enamat,more
ohvitser,officer
siinsamas,here
lemmik,favourite
otsid,looking
istuge,Take a seat
laseb,shoots
laua,table
oot,wait
kuuleb,hears
arsti,doctor
abielu,marriage
väikse,small
kaart,map
töötada,to work
arthur,Arthur
rahulik,calm
ligi,almost
mängib,plays
hiina,Chinese
teaksid,know
al,al
päevast,day
naeruväärne,laughable
otsib,searches
pidime,we had
kuuli,ball
vanglas,prison
poolel,half
rõõmus,joyous
jane,jane
keeruline,complex
sõja,military
tulemas,upcoming
puhtaks,clean
hotelli,hotels
Rachel,Rachel
eales,never
maksa,pay
teeksin,would do
lits,slut
lahkun,leaving
meeste,men
keeles,the language
võmmid,cops
robert,Robert
kingitus,gift
kohtunud,met
autost,the car
tänaval,on the street
õlut,beer
bond,Bond
arusaadav,understandable
üritad,trying to
tervist,health
lord,lord
maad,lands
kuulata,to listen
üritasin,I tried
maksan,will pay
charles,charles
william,William
ga,ga
ülesanne,task
van,van
lennata,fly
politseinik,police officer
lausa,just
uudis,novelty
moel,way
sõnu,the words
võimu,power
probleemid,problems
dave,Dave
plaanis,plans
otsida,search
vaevalt,barely
le,le
elavad,live
kohtuma,meet
minus,me
tegite,you did
puu,tree
alguses,at the beginning
perset,ass
lugesin,I read
tapavad,kill
emily,emily
kavatsen,I plan to
arvas,thought
löön,smithereens
lahkume,leave
toru,pipe
vägev,mighty
matt,mat
millele,to what
kauaks,for long
selgitada,to explain
kindlaks,identified
hakkasin,started
tõepoolest,indeed
nõbu,cousin
jäävad,stay
ideaalne,ideal
suren,die
ryan,ryan
riigi,country
tulite,you came
meeldid,likes
leedi,lady
jenny,jenny
kannab,carries
sitta,shit
käskis,ordered
andesta,forgiveness
vajavad,need
sõidame,drive
poega,sons
poissi,boys
prantsuse,French
vaatab,looks
tapeti,was killed
iialgi,ever
omadega,ones
käsk,command
maale,ashore
helistama,call
paps,EAA
jätnud,leave
san,San
lõpetan,quit
chuck,Chuck
jala,on foot
vanad,old
hing,hinge
parandada,fix
siiapoole,this side
sured,die
kirjutas,wrote
tänatud,Thank
häbi,shame
film,film
suremas,dying
hmm,hmm
hõivatud,occupied
vean,Vean
asjadest,things
aeglaselt,slowly
lubasin,I promised
vot,vot
paika,place
seisa,downtime
suletud,closed
õieti,properly
jõudma,reach
ootavad,waiting
töötanud,worked
toimus,took place
minut,minute
kuskile,to some place
tsau,Hi
de,de
räägitakse,they say
haiglas,in the hospital
teineteist,each other
jalg,leg
kauem,longer
pakun,Hospitality
unustanud,forgotten
omavahel,between us
toime,effect
uusi,new
asjaga,thing
süsteemi,the system
meeldinud,liked
meelega,on purpose
tänulik,thankful
kuul,ball
lubatud,allowed
prints,prince
larry,Larry
lubasid,promised
und,und
saladus,secret
uurida,explore
tänada,thank
advokaat,lawyer
toit,food
kujuta,pose
korraga,at a time
esimesel,first
relvi,weapons
kristus,Christ
kaduge,Get lost
kuulete,hear
tapsin,killed
tüdrukuga,girl
arvestades,considering
tähtsam,major
jõudis,reached
sinine,blue
sorti,sort of
otsustada,decide
avatud,open
helistasin,called
sean,sean
voodis,in bed
tuttav,familiar
igav,dull
üritas,tried
raamatu,book
piiri,boundary
küsid,you ask
jätma,leave
ela,ela
lasknud,let the
käisid,visited
mehele,husband
süütu,innocent
pete,pete
juhtida,draw
kirjuta,write
pagana,heathen
vaat,barrel
päralt,hers
õppima,learn
rahva,People's
armastust,endearing
avage,Open the
põrgusse,hell
tõbras,beast
helistab,calls
veeta,to spend
hirmu,fear
vittu,cunt
hakkasid,started
rooma,Rome
senaator,senator
unustada,to forget
millist,which
voodi,bed
avada,open
pikka,long
kaotasime,lost
kiirelt,quickly
nimelt,namely
püksid,shorts
teade,message
meetrit,meters
meelt,your mind
jerry,Jerry
lood,stories
soovitan,Recommend
rase,pregnant
juhib,leads
sõbrake,pal
proovime,try
uskunud,believed in
pomm,bomb
ootad,look
müüa,for sale
jackson,jackson
tähtsust,the importance of
lõpus,At the end of
surnuks,death
kutsusid,invited
mõju,effect
naisele,"wife,"
leiti,was found
koheselt,immediately
kass,cat
tühjaks,blank
tõestada,to prove
juhuks,case
aitad,help
igavene,everlasting
hoolitsen,take care
üllatunud,surprised
teele,path
hiljuti,recently
igatsen,miss
tulevikku,the future
jube,creepy
